date,open,high,low,close,volume,symbol
2024-01-31,17999,17999,17620,17758,16872587,ACB
2024-02-01,17723,17999,17723,17930,8399329,ACB
2024-02-02,17896,18137,17827,18103,20524142,ACB
2024-02-05,18103,19310,18034,19172,38972091,ACB
2024-02-06,19206,19241,19068,19206,21929562,ACB
2024-02-07,19206,19447,19206,19310,16832118,ACB
2024-02-15,19344,19585,18758,18758,20160586,ACB
2024-02-16,18965,19034,18827,19034,12689916,ACB
2024-02-19,19103,19103,18758,19103,17148725,ACB
2024-02-20,18965,19137,18861,18999,12400289,ACB
2024-02-21,18965,19241,18896,19103,13834540,ACB
2024-02-22,19103,19137,18965,19068,14285380,ACB
2024-02-23,19103,19585,18827,18827,34352731,ACB
2024-02-26,18827,19103,18689,18965,13519467,ACB
2024-02-27,19103,19103,18861,19034,15942473,ACB
2024-02-28,19068,19310,18999,19310,13900533,ACB
2024-02-29,19379,19482,19103,19310,13160726,ACB
2024-03-01,19310,19310,18999,19172,14803800,ACB
2024-03-04,19172,19447,18896,19172,18404571,ACB
2024-03-05,19172,19310,18999,19275,8573238,ACB
2024-03-06,19310,19413,18999,19034,12949391,ACB
2024-03-07,19034,19103,18896,18965,13444270,ACB
2024-03-08,18965,19068,18620,18654,33084982,ACB
2024-03-11,18654,18689,18379,18448,17147270,ACB
2024-03-12,18379,18516,18344,18448,10993413,ACB
2024-03-13,18448,19068,18448,19068,11949185,ACB
2024-03-14,19034,19034,18654,18792,10876637,ACB
2024-03-15,18792,18896,18620,18861,11906203,ACB
2024-03-18,18758,18861,18413,18551,18870488,ACB
2024-03-19,18482,18654,18448,18516,9615237,ACB
2024-03-20,18516,19103,18482,18965,18967559,ACB
2024-03-21,19103,19310,18999,19310,17504610,ACB
2024-03-22,19482,19965,19241,19413,222213723,ACB
2024-03-25,19344,19344,18965,18965,16895863,ACB
2024-03-26,19034,19275,18861,19275,8415597,ACB
2024-03-27,19275,19344,19034,19310,8364548,ACB
2024-03-28,19516,19723,19447,19551,81109692,ACB
2024-03-29,19585,19758,19413,19654,21715053,ACB
2024-04-01,19447,19654,19379,19620,9912005,ACB
2024-04-02,19516,19585,19241,19585,18699753,ACB
2024-04-03,19447,19585,19241,19310,16133706,ACB
2024-04-04,19344,19344,18999,18999,15049388,ACB
2024-04-05,18827,18896,18689,18723,16451238,ACB
2024-04-08,18723,18792,18585,18723,9084649,ACB
2024-04-09,18723,18827,18654,18827,7130258,ACB
2024-04-10,18930,19034,18689,18689,6773845,ACB
2024-04-11,18620,18723,18551,18723,14926396,ACB
2024-04-12,18758,19310,18620,19310,284412089,ACB
2024-04-15,19172,19310,18516,18516,25793775,ACB
2024-04-16,18516,18723,18448,18723,24268404,ACB
2024-04-17,18758,18792,18448,18448,16653184,ACB
2024-04-19,18344,18482,18241,18344,15281487,ACB
2024-04-22,18551,18585,18413,18482,9560864,ACB
2024-04-23,18482,18585,18310,18379,11482778,ACB
2024-04-24,18482,18689,18413,18654,8862337,ACB
2024-04-25,18620,18654,18448,18482,7296893,ACB
2024-04-26,18482,18620,18344,18516,7199690,ACB
2024-05-02,18516,18723,18482,18620,6381194,ACB
2024-05-03,18689,18965,18689,18965,11530613,ACB
2024-05-06,18965,19103,18861,19034,14710167,ACB
2024-05-07,19137,19172,18965,19068,10474596,ACB
2024-05-08,18965,19068,18827,18999,9307359,ACB
2024-05-09,19034,19172,18965,19034,5566138,ACB
2024-05-10,19034,19103,18930,19103,13476010,ACB
2024-05-13,19310,19310,19068,19103,7798584,ACB
2024-05-14,19103,19241,19068,19137,7876281,ACB
2024-05-15,19206,19206,19103,19103,10922527,ACB
2024-05-16,19310,19585,19172,19482,40042522,ACB
2024-05-17,19482,19585,19447,19482,12407430,ACB
2024-05-20,19654,19689,19447,19482,13340427,ACB
2024-05-21,19482,19516,19206,19447,16231571,ACB
2024-05-22,19447,19482,19241,19275,14095866,ACB
2024-05-23,19310,19654,19310,19620,14044553,ACB
2024-05-24,19620,20827,19482,20172,46086744,ACB
2024-05-27,20344,20585,20172,20310,12742951,ACB
2024-05-28,20482,20482,20206,20447,14133160,ACB
2024-05-29,20482,20516,20172,20172,19964989,ACB
2024-05-30,20103,20275,19896,20275,17339429,ACB
2024-05-31,20761,21010,20470,20470,13940760,ACB
2024-06-03,20636,20719,20428,20595,20476325,ACB
2024-06-04,20595,20595,20304,20345,11412830,ACB
2024-06-05,20553,20553,20179,20221,13017885,ACB
2024-06-06,20262,20345,20179,20221,9231855,ACB
2024-06-07,20387,20470,20179,20428,7805166,ACB
2024-06-10,20428,20512,20179,20262,10792635,ACB
2024-06-11,20262,20304,20013,20055,11845345,ACB
2024-06-12,20055,20387,19847,20387,13673155,ACB
2024-06-13,20387,20678,20262,20595,14968860,ACB
2024-06-14,20512,20678,20428,20428,13265250,ACB
2024-06-17,20428,20428,20138,20387,7323890,ACB
2024-06-18,20512,20512,20262,20387,7077790,ACB
2024-06-19,20387,20512,20138,20470,8980925,ACB
2024-06-20,20387,20636,20262,20595,12110305,ACB
2024-06-21,20636,20636,20345,20387,5890300,ACB
2024-06-24,20428,20428,19847,20013,16734915,ACB
2024-06-25,19930,20096,19847,19972,10102061,ACB
2024-06-26,19930,20013,19598,20013,15060975,ACB
2024-06-27,19930,20013,19764,19889,5868795,ACB
2024-06-28,19764,19930,19723,19764,16068754,ACB
2024-07-01,19764,19806,19598,19764,4523525,ACB
2024-07-02,19764,20013,19681,19972,6918515,ACB
2024-07-03,20055,20262,19889,20138,10314120,ACB
2024-07-04,20179,20221,19889,20055,8726316,ACB
2024-07-05,20055,20179,19930,20179,8435251,ACB
2024-07-08,20179,20221,20013,20138,14271845,ACB
2024-07-09,20055,20262,19972,20179,9987981,ACB
2024-07-10,20345,20345,20138,20138,13422225,ACB
2024-07-11,20221,20221,20055,20055,5738845,ACB
2024-07-12,20013,20055,19764,19930,17017470,ACB
2024-07-15,19930,19972,19847,19889,6878726,ACB
2024-07-16,19930,20179,19889,20013,18421505,ACB
2024-07-17,20179,20927,20096,20345,33568960,ACB
2024-07-18,20345,20844,20345,20595,13472480,ACB
2024-07-19,20595,21010,20470,20844,21237970,ACB
2024-07-22,20844,20927,20470,20553,20418480,ACB
2024-07-23,20595,20678,19930,19930,19390150,ACB
2024-07-24,19930,20262,19764,20096,14585910,ACB
2024-07-25,20055,20055,19764,19972,9810305,ACB
2024-07-26,20013,20055,19930,20013,4234760,ACB
2024-07-29,20179,20179,19972,20055,4995273,ACB
2024-07-30,19930,20055,19889,20055,8307830,ACB
2024-07-31,20096,20387,20013,20387,9831005,ACB
2024-08-01,20345,20428,19889,19889,13833350,ACB
2024-08-02,19847,19930,19640,19889,15876900,ACB
2024-08-05,19598,19806,19224,19266,36306190,ACB
2024-08-06,19515,19640,19307,19515,9552936,ACB
2024-08-07,19598,19598,19349,19432,5992650,ACB
